ra,dec,z,class,zWarning
174.1925,25.758229,0.0001049124,STAR,0
174.25365,25.536975,0.1559652,GALAXY,0
174.25662,25.565825,9.704589E-05,STAR,16
174.22276,25.451707,0.04919643,GALAXY,0
174.20874,25.851804,0.1572285,GALAXY,0
174.14132,25.41348,0.172135,GALAXY,0
174.05634,25.47917,0.1566762,GALAXY,0
173.9873,25.718478,0.1589834,GALAXY,0
174.25228,24.89637,0.03226312,GALAXY,0
174.16732,24.84141,0.01196302,GALAXY,0
174.34536,24.690321,0.1351294,GALAXY,0
174.09778,25.287931,0.3847218,GALAXY,0
174.2827,24.963889,0.1553425,GALAXY,0
174.26026,24.869675,-8.186918E-05,STAR,0
174.11285,25.23592,0.04867226,GALAXY,0
174.30065,24.939507,0.150781,GALAXY,0
174.22456,24.999917,0.2275068,GALAXY,0
173.98494,24.820914,0.1552846,GALAXY,0
173.89127,24.962573,0.023097,GALAXY,0
173.93807,24.742046,0.1578493,GALAXY,0
174.20213,24.720448,0.0208472,GALAXY,0
174.1362,24.941893,0.003568242,STAR,13
173.90071,24.736536,0.1299694,GALAXY,0
174.37296,24.741881,0.0002860312,STAR,0
173.90597,24.715642,-1.520023E-05,STAR,0
174.27282,24.852817,0.1548877,GALAXY,0
173.88474,25.024379,0.03236208,GALAXY,0
176.38598,24.854061,0,GALAXY,134
174.71004,25.57484,0.2027103,GALAXY,0
174.7015,25.634312,0.07461709,GALAXY,0
174.50429,25.752755,-9.292561E-05,STAR,0
174.61338,25.666574,0.0001031285,STAR,0
174.63053,25.55816,0.04961614,GALAXY,0
174.65889,25.652068,0.3742083,GALAXY,0
174.42902,25.825173,0.1222068,GALAXY,0
174.36149,25.552295,0.1547965,GALAXY,0
174.72357,25.761308,0.4015967,GALAXY,0
174.75498,25.863093,0.1516326,GALAXY,0
174.34227,25.738678,0.0106639,GALAXY,0
174.39125,25.47925,0.1883824,GALAXY,0
174.51,25.407012,1.661138,QSO,0
174.39939,25.617673,0.1111652,GALAXY,0
174.64049,25.398098,0.02537012,GALAXY,0
174.34764,25.431129,0.2493333,GALAXY,0
174.3634,25.34406,0.297375,GALAXY,0
174.58132,25.566188,-0.004086666,GALAXY,5
174.75829,25.359144,0.1102279,GALAXY,0
174.38897,25.363693,0.08745028,GALAXY,0
176.36005,24.779985,0,GALAXY,134
174.52911,25.109121,1.193281,QSO,0
174.38863,25.324247,0.2998486,GALAXY,0
174.52877,25.15694,0.0005749155,STAR,0
174.66252,24.927263,0.02058521,GALAXY,0
174.48288,25.227185,0.1518994,GALAXY,0
174.6638,24.771882,0.1561718,GALAXY,0
174.55595,24.807118,2.439189,QSO,0
174.45846,25.009272,0.1876017,GALAXY,0
174.60406,25.031666,0.3097079,GALAXY,0
174.39009,25.090295,0.201762,GALAXY,0
174.19734,25.216056,0.01134785,GALAXY,0
174.17147,25.284283,0.01091645,GALAXY,0
174.47351,25.120994,0.1763855,GALAXY,0
174.37879,25.1465,0.3086095,GALAXY,0
174.49767,25.158078,0.3011097,GALAXY,0
174.33893,25.134207,0.3090803,GALAXY,0
174.40638,25.176345,0.1692578,GALAXY,0
174.53661,25.041926,0.1693857,GALAXY,0
174.46829,24.863376,-6.429868E-05,STAR,0
174.83166,25.063076,0.09307411,GALAXY,5
174.78497,24.987027,0.1852731,GALAXY,0
174.83685,25.124593,0.1553423,GALAXY,0
174.9545,24.961013,0.1553608,GALAXY,0
174.8917,24.887505,0.1556399,GALAXY,0
174.86757,25.090631,2.016066,QSO,0
174.865,24.821536,0.3646859,GALAXY,0
174.75189,25.250683,0.07805189,GALAXY,0
174.91345,24.950757,0.2993643,GALAXY,0
174.69029,25.24998,0.08927487,GALAXY,0
174.77602,25.268545,0.3082154,GALAXY,0
174.7204,24.762387,0.1405078,GALAXY,0
174.71973,25.05157,5.83994E-05,STAR,0
174.87611,25.188633,0.01227181,GALAXY,0
174.78837,24.726465,0.3336558,GALAXY,0
174.61089,25.270683,0.1549711,GALAXY,0
174.71668,24.724665,0.1302032,GALAXY,0
174.56725,25.092225,0.2422096,QSO,5
174.8504,24.773386,0.3838112,GALAXY,0
174.85805,24.95408,0.1556709,GALAXY,0
174.97535,25.061716,1.146282,QSO,5
175.04836,25.048803,0.1548062,GALAXY,0
175.05809,24.697065,0.01189983,GALAXY,0
174.92928,25.058618,0.155828,GALAXY,0
174.97899,25.119027,0.7365249,QSO,0
174.91309,25.122422,0.131544,GALAXY,0
175.12877,24.985026,0.04577075,GALAXY,0
174.99244,25.096324,0.1552036,GALAXY,0
175.11072,24.894831,0.1781303,GALAXY,0
174.9605,24.699984,0.01161268,GALAXY,0
175.12394,24.927658,0.04985385,GALAXY,0
174.95589,25.016378,0.3609636,QSO,0
175.01961,24.966442,0.2963108,GALAXY,0
174.90012,25.19135,0.09451118,GALAXY,0
175.07963,24.754806,0.1985249,GALAXY,0
175.11537,24.793774,0.1975113,GALAXY,0
174.94282,25.198863,0.0123742,GALAXY,0
174.95851,24.903039,0.1780291,GALAXY,0
175.01423,24.705954,0.167855,GALAXY,0
174.94063,25.07623,0.1226517,GALAXY,0
174.91828,25.444263,0.1349,GALAXY,0
174.83801,25.729752,0.2309992,GALAXY,0
174.76418,25.335744,0.04787202,GALAXY,0
174.81307,25.599419,0.2194258,GALAXY,0
174.89336,25.523769,0.1557761,GALAXY,0
174.86393,25.410369,0.1877015,GALAXY,0
174.88803,25.59934,0.002173349,STAR,5
174.9202,25.490672,0.1347743,GALAXY,0
175.05843,25.441486,0.1566155,GALAXY,0
175.04578,25.820804,0.07058775,GALAXY,0
175.03053,25.621981,0.4322665,GALAXY,0
174.89286,25.660329,1.440474,QSO,0
174.84969,25.811851,0.1108894,GALAXY,0
174.93492,25.873097,0.3068335,GALAXY,0
174.80919,25.787419,0.02305868,GALAXY,0
174.7972,25.67343,0.04922358,GALAXY,0
174.77496,25.70956,2.308445,QSO,0
174.9708,25.4274,0.2503088,GALAXY,0
174.81865,25.736862,1.009521,QSO,0
174.78087,25.865747,0.07102566,GALAXY,0
175.25736,25.238162,0.2996805,GALAXY,0
175.2401,25.047282,0.04582333,GALAXY,0
175.36641,24.981368,0.9707921,GALAXY,5
175.18888,25.100851,0.04952032,GALAXY,0
175.3401,24.890031,0.01080646,GALAXY,0
175.35345,24.949905,0.0113154,GALAXY,0
175.24991,25.307262,0.1836438,GALAXY,0
175.29382,24.917,0.1555126,GALAXY,0
175.3539,25.106117,0.07816981,GALAXY,0
175.34893,24.857941,0.01280305,GALAXY,0
175.15628,24.972159,0.3341673,GALAXY,0
175.2474,24.776054,0.01212169,GALAXY,0
175.03417,25.265663,0.1961644,GALAXY,0
175.15307,24.875695,0.1768979,GALAXY,0
175.04294,25.326342,0.02239724,GALAXY,0
175.11538,25.057482,0.1551183,GALAXY,0
175.06146,25.323686,0.02242384,GALAXY,0
175.04339,25.309597,0.0224808,GALAXY,0
175.23722,24.890488,0.1619863,GALAXY,0
175.14245,24.691837,0.1829523,GALAXY,0
175.24116,25.483149,0.1991754,GALAXY,0
175.06303,25.361653,0.06612188,GALAXY,0
175.18591,25.785489,0.603601,QSO,0
175.13353,25.374813,0.04939795,GALAXY,0
175.22141,25.429588,0.2987827,QSO,0
175.25924,25.507065,0.1304108,GALAXY,0
